Name,Team,Number,Position,Age,Height,Weight,College
Bradley Beal,Washington Wizards,3,SG,22,5-Jun,207,Florida
Jared Dudley,Washington Wizards,1,SF,30,7-Jun,225,Boston College
Jarell Eddie,Washington Wizards,8,SG,24,7-Jun,218,Virginia Tech
Drew Gooden,Washington Wizards,90,PF,34,10-Jun,250,Kansas
Marcin Gortat,Washington Wizards,13,C,32,11-Jun,240,
JJ Hickson,Washington Wizards,21,C,27,9-Jun,242,North Carolina State
Nene Hilario,Washington Wizards,42,C,33,11-Jun,250,
Markieff Morris,Washington Wizards,5,PF,26,10-Jun,245,Kansas
Kelly Oubre Jr.,Washington Wizards,12,SF,20,7-Jun,205,Kansas
Otto Porter Jr.,Washington Wizards,22,SF,23,8-Jun,198,Georgetown
Ramon Sessions,Washington Wizards,7,PG,30,3-Jun,190,Nevada
Garrett Temple,Washington Wizards,17,SG,30,6-Jun,195,LSU
Marcus Thornton,Washington Wizards,15,SF,29,4-Jun,205,LSU
John Wall,Washington Wizards,2,PG,25,4-Jun,195,Kentucky
Darrell Arthur,Denver Nuggets,0,PF,28,9-Jun,235,Kansas
D.J. Augustin,Denver Nuggets,12,PG,28,Jun-00,183,Texas
Will Barton,Denver Nuggets,5,SF,25,6-Jun,175,Memphis
Wilson Chandler,Denver Nuggets,21,SF,29,8-Jun,225,DePaul
Kenneth Faried,Denver Nuggets,35,PF,26,8-Jun,228,Morehead State
Danilo Gallinari,Denver Nuggets,8,SF,27,10-Jun,225,
Gary Harris,Denver Nuggets,14,SG,21,4-Jun,210,Michigan State
Nikola Jokic,Denver Nuggets,15,C,21,10-Jun,250,
Joffrey Lauvergne,Denver Nuggets,77,C,24,11-Jun,220,
Mike Miller,Denver Nuggets,3,SG,36,8-Jun,218,Florida
Emmanuel Mudiay,Denver Nuggets,0,PG,20,5-Jun,200,
Jameer Nelson,Denver Nuggets,1,PG,34,Jun-00,190,Saint Joseph's
Jusuf Nurkic,Denver Nuggets,23,C,21,Jul-00,280,
JaKarr Sampson,Denver Nuggets,9,SG,23,9-Jun,214,St. John's
Axel Toupane,Denver Nuggets,6,SG,23,7-Jun,210,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,10-Jun,240,
Gorgui Dieng,Minnesota Timberwolves,5,C,26,11-Jun,241,Louisville
Kevin Garnett,Minnesota Timberwolves,21,PF,40,11-Jun,240,
Tyus Jones,Minnesota Timberwolves,1,PG,20,2-Jun,195,Duke
Zach LaVine,Minnesota Timberwolves,8,PG,21,5-Jun,189,UCLA
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,6-Jun,223,UCLA
Adreian Payne,Minnesota Timberwolves,33,PF,25,10-Jun,237,Michigan State
Nikola Pekovic,Minnesota Timberwolves,14,C,30,11-Jun,307,
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,9-Jun,212,Kentucky
Ricky Rubio,Minnesota Timberwolves,9,PG,25,4-Jun,194,
Damjan Rudez,Minnesota Timberwolves,10,SF,29,9-Jun,230,
Greg Smith,Minnesota Timberwolves,4,PF,25,10-Jun,250,Fresno State
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,Jul-00,244,Kentucky
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,8-Jun,199,Kansas
Steven Adams,Oklahoma City Thunder,12,C,22,Jul-00,255,Pittsburgh
Nick Collison,Oklahoma City Thunder,4,PF,35,10-Jun,255,Kansas
Kevin Durant,Oklahoma City Thunder,35,SF,27,9-Jun,240,Texas
Randy Foye,Oklahoma City Thunder,6,SG,32,4-Jun,213,Villanova
Josh Huestis,Oklahoma City Thunder,34,SF,24,7-Jun,230,Stanford
Serge Ibaka,Oklahoma City Thunder,9,PF,26,10-Jun,245,
Enes Kanter,Oklahoma City Thunder,11,C,24,11-Jun,245,Kentucky
Mitch McGary,Oklahoma City Thunder,33,PF,24,10-Jun,255,Michigan
Nazr Mohammed,Oklahoma City Thunder,13,C,38,10-Jun,250,Kentucky
Anthony Morrow,Oklahoma City Thunder,2,SG,30,5-Jun,210,Georgia Tech
Cameron Payne,Oklahoma City Thunder,22,PG,21,3-Jun,185,Murray State
Andre Roberson,Oklahoma City Thunder,21,SG,24,7-Jun,210,Colorado
Kyle Singler,Oklahoma City Thunder,5,SF,28,8-Jun,228,Duke
Dion Waiters,Oklahoma City Thunder,3,SG,24,4-Jun,220,Syracuse
Russell Westbrook,Oklahoma City Thunder,0,PG,27,3-Jun,200,UCLA
Cliff Alexander,Portland Trail Blazers,34,PF,20,8-Jun,240,Kansas
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,9-Jun,215,Wake Forest
Pat Connaughton,Portland Trail Blazers,5,SG,23,5-Jun,206,Notre Dame
Allen Crabbe,Portland Trail Blazers,23,SG,24,6-Jun,210,California
Ed Davis,Portland Trail Blazers,17,C,27,10-Jun,240,North Carolina
Maurice Harkless,Portland Trail Blazers,4,SF,23,9-Jun,215,St. John's
Gerald Henderson,Portland Trail Blazers,9,SG,28,5-Jun,215,Duke
Chris Kaman,Portland Trail Blazers,35,C,34,Jul-00,265,Central Michigan
Meyers Leonard,Portland Trail Blazers,11,PF,24,1-Jul,245,Illinois
Damian Lillard,Portland Trail Blazers,0,PG,25,3-Jun,195,Weber State
C.J. McCollum,Portland Trail Blazers,3,SG,24,4-Jun,200,Lehigh
Luis Montero,Portland Trail Blazers,44,SG,23,7-Jun,185,Westchester CC
Mason Plumlee,Portland Trail Blazers,24,C,26,11-Jun,235,Duke
Brian Roberts,Portland Trail Blazers,2,PG,30,1-Jun,173,Dayton
Noah Vonleh,Portland Trail Blazers,21,PF,20,9-Jun,240,Indiana
Trevor Booker,Utah Jazz,33,PF,28,8-Jun,228,Clemson
Trey Burke,Utah Jazz,3,PG,23,1-Jun,191,Michigan
Alec Burks,Utah Jazz,10,SG,24,6-Jun,214,Colorado
Dante Exum,Utah Jazz,11,PG,20,6-Jun,190,
Derrick Favors,Utah Jazz,15,PF,24,10-Jun,265,Georgia Tech
Rudy Gobert,Utah Jazz,27,C,23,1-Jul,245,
Gordon Hayward,Utah Jazz,20,SF,26,8-Jun,226,Butler
Rodney Hood,Utah Jazz,5,SG,23,8-Jun,206,Duke
Joe Ingles,Utah Jazz,2,SF,28,8-Jun,226,
Chris Johnson,Utah Jazz,23,SF,26,6-Jun,206,Dayton
Trey Lyles,Utah Jazz,41,PF,20,10-Jun,234,Kentucky
Shelvin Mack,Utah Jazz,8,PG,26,3-Jun,203,Butler
Raul Neto,Utah Jazz,25,PG,24,1-Jun,179,
Tibor Pleiss,Utah Jazz,21,C,26,3-Jul,256,
Jeff Withey,Utah Jazz,24,C,26,Jul-00,231,Kansas
